Names,Area, Population, Density,Capital
South Africa,"	1219912","	55653654","	46",Pretoria
Botswana,"	581726","	2209208","	3.8",Gaborone
Comoros,"	2612","	813912","	343",Moroni
Eswatini,"	17363","	1451428","	82.7",Lobamba
Lesotho,"	30355","	1924381","	63",Maseru
Madagascar,"	587041","	24430325","	41.61",Antananarivo
Malawi,"	118844","	18091575","	152",Lilongwe
Mauritius,"	2040","	1259838","	630",Port Louis
Mozambique,"	801590","	25900000","	32",Maputo
Namibia,"	825418","	2484780","	3",Windhoek
Zimbabwe,"	390245","	14030368","	36",Harare
Zambia,"	752614","	15066266","	20",Lusaka
